,features,label
193,"[5.0,735848.0,735869.0,21.0,18.0]",2.0
194,"[2.0,735848.0,735859.0,11.0,3.0]",3.0
195,"[6.0,735890.0,735896.0,6.0,6.0]",3.0
196,"[4.0,735875.0,735881.0,6.0,6.0]",0.0
197,"[0.0,735842.0,735864.0,22.0,9.0]",3.0
198,"[2.0,735802.0,735824.0,22.0,18.0]",2.0
199,"[5.0,735799.0,735820.0,21.0,82.0]",2.0
200,"[1.0,735928.0,735942.0,14.0,37.0]",3.0
201,"[2.0,735840.0,735852.0,12.0,1.0]",3.0
202,"[6.0,735870.0,735889.0,19.0,60.0]",1.0
203,"[6.0,735847.0,735875.0,28.0,28.0]",2.0
204,"[2.0,735815.0,735838.0,23.0,80.0]",2.0
205,"[4.0,735825.0,735839.0,14.0,144.0]",0.0
206,"[0.0,735819.0,735822.0,3.0,20.0]",3.0
207,"[4.0,735829.0,735860.0,31.0,78.0]",1.0
208,"[0.0,735956.0,735962.0,6.0,75.0]",1.0
209,"[0.0,735849.0,735857.0,8.0,1.0]",1.0
210,"[1.0,735821.0,735851.0,30.0,19.0]",1.0
211,"[4.0,735852.0,735860.0,8.0,66.0]",2.0
212,"[1.0,735944.0,735956.0,12.0,1.0]",1.0
213,"[4.0,735946.0,735958.0,12.0,83.0]",0.0
214,"[3.0,735890.0,735898.0,8.0,25.0]",2.0
215,"[5.0,735885.0,735911.0,26.0,3.0]",2.0
216,"[6.0,735902.0,735903.0,1.0,1.0]",0.0
217,"[1.0,735946.0,735963.0,17.0,2.0]",3.0
218,"[4.0,735911.0,735930.0,19.0,108.0]",1.0
219,"[4.0,735962.0,735979.0,17.0,8.0]",3.0
220,"[1.0,735831.0,735858.0,27.0,4.0]",1.0
221,"[6.0,735854.0,735875.0,21.0,124.0]",0.0
222,"[1.0,735888.0,735900.0,12.0,59.0]",1.0
223,"[3.0,735951.0,735961.0,10.0,5.0]",2.0
224,"[1.0,735834.0,735858.0,24.0,32.0]",2.0
225,"[0.0,735872.0,735899.0,27.0,35.0]",1.0
226,"[4.0,735861.0,735888.0,27.0,22.0]",2.0
227,"[3.0,735918.0,735940.0,22.0,27.0]",3.0
228,"[1.0,735797.0,735823.0,26.0,47.0]",3.0
229,"[2.0,735818.0,735824.0,6.0,56.0]",0.0
230,"[2.0,735922.0,735950.0,28.0,12.0]",3.0
231,"[0.0,735947.0,735976.0,29.0,64.0]",0.0
232,"[2.0,735905.0,735929.0,24.0,20.0]",3.0
233,"[1.0,735943.0,735970.0,27.0,159.0]",0.0
234,"[1.0,735925.0,735956.0,31.0,13.0]",0.0
235,"[3.0,735913.0,735933.0,20.0,27.0]",3.0
236,"[4.0,735900.0,735930.0,30.0,1.0]",0.0
237,"[2.0,735853.0,735873.0,20.0,219.0]",2.0
238,"[6.0,735893.0,735924.0,31.0,112.0]",3.0
239,"[0.0,735896.0,735899.0,3.0,6.0]",2.0
240,"[3.0,735943.0,735947.0,4.0,15.0]",2.0
241,"[5.0,735892.0,735918.0,26.0,77.0]",3.0
242,"[0.0,735806.0,735808.0,2.0,43.0]",2.0
243,"[3.0,735898.0,735912.0,14.0,5.0]",3.0
244,"[1.0,735867.0,735872.0,5.0,151.0]",1.0
245,"[1.0,735931.0,735935.0,4.0,128.0]",2.0
246,"[3.0,735855.0,735856.0,1.0,4.0]",3.0
247,"[4.0,735875.0,735895.0,20.0,25.0]",1.0
248,"[5.0,735916.0,735946.0,30.0,24.0]",2.0
249,"[0.0,735848.0,735878.0,30.0,78.0]",3.0
250,"[4.0,735849.0,735881.0,32.0,26.0]",1.0
251,"[3.0,735830.0,735849.0,19.0,40.0]",3.0
252,"[1.0,735877.0,735893.0,16.0,49.0]",1.0
253,"[5.0,735931.0,735960.0,29.0,28.0]",1.0
254,"[1.0,735887.0,735914.0,27.0,50.0]",2.0
255,"[2.0,735930.0,735964.0,34.0,18.0]",1.0
256,"[0.0,735856.0,735885.0,29.0,55.0]",3.0
257,"[4.0,735964.0,735979.0,15.0,71.0]",2.0
258,"[3.0,735868.0,735891.0,23.0,2.0]",1.0
259,"[4.0,735821.0,735832.0,11.0,9.0]",2.0
260,"[3.0,735910.0,735912.0,2.0,53.0]",2.0
261,"[2.0,735895.0,735908.0,13.0,14.0]",1.0
262,"[5.0,735842.0,735855.0,13.0,0.0]",2.0
263,"[2.0,735875.0,735908.0,33.0,94.0]",1.0
264,"[3.0,735952.0,735961.0,9.0,354.0]",2.0
265,"[5.0,735909.0,735932.0,23.0,13.0]",3.0
266,"[4.0,735870.0,735902.0,32.0,159.0]",1.0
267,"[3.0,735961.0,735968.0,7.0,0.0]",1.0
268,"[0.0,735928.0,735955.0,27.0,68.0]",0.0
269,"[0.0,735815.0,735836.0,21.0,46.0]",2.0
270,"[5.0,735816.0,735827.0,11.0,19.0]",2.0
271,"[4.0,735867.0,735888.0,21.0,33.0]",0.0
272,"[1.0,735849.0,735858.0,9.0,62.0]",2.0
273,"[6.0,735858.0,735861.0,3.0,396.0]",2.0
274,"[5.0,735924.0,735932.0,8.0,1.0]",2.0
275,"[1.0,735895.0,735907.0,12.0,107.0]",0.0
276,"[0.0,735890.0,735899.0,9.0,11.0]",3.0
277,"[6.0,735958.0,735959.0,1.0,41.0]",2.0
278,"[6.0,735857.0,735882.0,25.0,12.0]",0.0
279,"[6.0,735887.0,735889.0,2.0,30.0]",2.0
